idx,y,cl_1,cl_2,cl_u,cl_ncor,cl_njet,V
31,-1.4193548387096775,0.22844649165309525,0.22924969575192378,0.23782235662044915,0.25695171475100365,0.19059533321186614,121.91467221644119
32,-1.3548387096774195,0.2270315825190613,0.2279217988110348,0.23415696532931685,0.25351821748656506,0.19085791120934506,120.6035379812695
33,-1.2903225806451613,0.22511148085245114,0.22608874507359905,0.22866490502312886,0.24818386871593007,0.1911085817916407,118.54318418314254
34,-1.2258064516129032,0.2227315833086197,0.22378810072192531,0.22143484618780468,0.24101392004863223,0.1913491572411914,115.73361082206034
35,-1.161290322580645,0.2199052768636689,0.22102117633720672,0.21261555348304573,0.23209653104000805,0.1915825078309189,112.17481789802287
36,-1.096774193548387,0.21649615179094736,0.21763049690979547,0.20249813507220255,0.2215371681250485,0.19181431941644203,107.86680541103016
37,-1.032258064516129,0.20891160904265899,0.20995972988711598,0.19187469033769497,0.20943659477807233,0.1920606095082334,102.8095733610822
38,-0.8333333333333333,0.20441548173351093,0.20518463211054108,0.2041121042093303,0.20166986315419064,0.1924281629139717,100.0
39,-0.5,0.20195109581235973,0.2030969439017872,0.2019695309399512,0.2004051221495881,0.19291315311811172,100.0
40,-0.16666666666666666,0.20084293724609076,0.20229570962825738,0.20119008095214694,0.1999200921128391,0.19316040884361638,100.0
41,0.16666666666666666,0.20084293724609076,0.20229570962825738,0.20119008095214688,0.19992009211283907,0.1931604088436164,100.0
42,0.5,0.20195109581235993,0.20309694390178712,0.2019695309399512,0.2004051221495881,0.1929131531181116,100.0
43,0.8333333333333333,0.2044154817335113,0.20518463211054086,0.2041121042093302,0.2016698631541905,0.19242816291397136,100.0
44,1.032258064516129,0.2089116090426592,0.20995972988711573,0.1918746903376949,0.20943659477807228,0.19206060950823323,102.8095733610822
45,1.096774193548387,0.2164961517909475,0.21763049690979533,0.2024981350722025,0.22153716812504845,0.1918143194164419,107.86680541103016
46,1.161290322580645,0.21990527686366917,0.22102117633720664,0.21261555348304564,0.23209653104000785,0.19158250783091868,112.17481789802287
47,1.2258064516129032,0.22273158330861983,0.2237881007219253,0.22143484618780454,0.241013920048632,0.19134915724119125,115.73361082206034
48,1.2903225806451613,0.22511148085245117,0.22608874507359902,0.22866490502312867,0.24818386871592987,0.19110858179164059,118.54318418314254
49,1.3548387096774195,0.22703158251906125,0.22792179881103475,0.2341569653293167,0.2535182174865649,0.19085791120934495,120.6035379812695
50,1.4193548387096775,0.22844649165309525,0.22924969575192378,0.237822356620449,0.25695171475100353,0.19059533321186617,121.91467221644119
51,1.4838709677419355,0.22930584625007427,0.23002734860417018,0.23961048707640029,0.25844447053278313,0.1903195035190272,122.47658688865764
52,1.5483870967741935,0.22956085873276166,0.23020945821884276,0.2395027003183508,0.2579832991732905,0.19002930092422118,122.2892819979188
