,y,V1x_ib,V2x_ib,V1z_ib,V2z_ib,V1x_wt,V2x_wt,V1z_wt,V2z_wt
24,-15.578756398623101,-0.023753188349911667,-0.08970890734511833,-0.0018493714766412714,0.008755506244376633,-0.0007254172884747906,-0.31347667453401673,-1.7647567626104752e-05,0.15389801594554636
25,-15.394841750010443,-0.024313285168847273,-0.09264415880597925,-0.001905051440977972,0.009047303894083083,-0.0007341111169963535,-0.2106136352028026,-1.8038311103951722e-05,0.09526258917550881
26,-15.192288338960907,-0.024948957678325456,-0.09600820866652768,-0.001968432559932109,0.009377881027091313,-0.000743803791755135,-0.1392621844176974,-1.8479055065133663e-05,0.05708036903061741
27,-14.971651350294863,-0.02566464664445363,-0.09983700779772059,-0.0020400112145206443,0.009749038902689869,-0.0007545026954967498,-0.09137151738558379,-1.897189462312282e-05,0.03323755210545651
28,-14.733535534661957,-0.026465346725238408,-0.10417203593172822,-0.0021203406249673653,0.010162639139447349,-0.0007662143639644769,-0.05980853801039356,-1.9519138340254427e-05,0.018763083524853764
29,-14.478593550961612,-0.027356634817793556,-0.10906098898715477,-0.002210031529542609,0.010620564076047324,-0.0007789439785609605,-0.039204174892989385,-2.012330666193613e-05,0.01014873970664637
30,-14.20752417745035,-0.02834469923354165,-0.1145586116702563,-0.0023097521944486993,0.011124676745297758,-0.0007926947917322924,-0.025820601742326817,-2.0787128949511133e-05,0.0051036002554627315
31,-13.921070396439164,-0.029436369044704577,-0.12072771205709384,-0.0024202275134061623,0.01167678556674657,-0.0008074674821204014,-0.017154790459575155,-2.1513538768904103e-05,0.0021967723479624592
32,-13.620017357830648,-0.03063914283496479,-0.12764040472519583,-0.002542236927281978,0.012278621286417327,-0.0008232594376341722,-0.011561496369341345,-2.2305667064223924e-05,0.0005571938761620006
33,-13.305190227077686,-0.031961215986155964,-0.135379639327489,-0.002676610874211909,0.012931836175099552,-0.0008400639661634309,-0.007967602596109563,-2.3166832817711917e-05,-0.000337687830829729
34,-12.977451923462308,-0.03341150555532374,-0.14404108015746128,-0.0028242254759228503,0.01363803728544726,-0.0008578694357815996,-0.005674451000256474,-2.4100530774980035e-05,-0.0007987748815073227
35,-12.637700754893913,-0.03499967176130548,-0.15373540504735372,-0.0029859951852738544,0.01439886524802781,-0.0008766583490283529,-0.004226654784291659,-2.511041579360271e-05,-0.0010101400751901528
