Polar,	Run,	AoA,	Vinf,	rhoInf,	Tinf,	Pinf,		n,	J=Vinf/nD,	r/R,	phi,	CpT
[-],[-],[deg],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-],[deg],[-]
5,17,-0.20,39.98,1.1996,296.13,101974.7,242.10,0.6968,0.7595,180,1.9911
5,18,-0.20,39.99,1.1996,296.13,101974.7,242.10,0.6969,0.7932,180,1.9785
5,19,-0.20,39.98,1.1996,296.13,101974.8,242.10,0.6969,0.8270,180,1.9497
5,20,-0.20,39.99,1.1996,296.13,101973.8,242.10,0.6969,0.8608,180,1.9043
5,21,-0.20,39.99,1.1996,296.13,101973.4,242.10,0.6970,0.8776,180,1.8769
5,22,-0.20,39.99,1.1996,296.13,101973.6,242.10,0.6969,0.8945,180,1.8470
5,23,-0.20,39.99,1.1997,296.12,101973.5,242.10,0.6969,0.9114,180,1.8128
5,24,-0.20,39.99,1.1996,296.13,101973.6,242.10,0.6969,0.9283,180,1.7778
5,25,-0.20,39.99,1.1997,296.12,101973.8,242.10,0.6969,0.9451,180,1.6746
5,26,-0.20,39.99,1.1997,296.12,101973.7,242.10,0.6969,0.9620,180,1.1072
5,27,-0.20,39.99,1.1997,296.12,101972.7,242.10,0.6969,0.9789,180,1.0144
5,28,-0.20,39.99,1.1997,296.11,101972.6,242.10,0.6970,0.9958,180,1.0000
5,29,-0.20,39.99,1.1997,296.11,101972.6,242.10,0.6969,1.0127,180,1.0001
5,30,-0.20,39.99,1.1997,296.11,101972.7,242.10,0.6970,1.0295,180,0.9997
5,31,-0.20,39.99,1.1997,296.12,101972.7,242.10,0.6969,1.0464,180,0.9996
5,32,-0.20,40.00,1.1997,296.12,101972.8,242.10,0.6972,1.0633,180,0.9994
5,33,-0.20,40.00,1.1997,296.11,101972.8,242.10,0.6972,1.0970,180,0.9995
5,34,-0.20,40.00,1.1997,296.11,101972.9,242.10,0.6971,1.1308,180,0.9995
5,35,-0.20,40.00,1.1997,296.11,101973.7,242.10,0.6971,1.1646,180,0.9995
